16.167,0.1701,50.52,50.52,0.15982,48.979,48.979
16.333,0.17013,50.517,50.517,0.15981,49.011,49.011
16.5,0.17017,50.515,50.515,0.15979,49.042,49.042
16.667,0.17021,50.512,50.512,0.15978,49.073,49.073
16.833,0.17024,50.509,50.509,0.15977,49.103,49.103
17,0.17028,50.506,50.506,0.15977,49.133,49.133
17.167,0.17031,50.504,50.504,0.15976,49.162,49.162
17.333,0.17035,50.501,50.501,0.15976,49.191,49.191
17.5,0.17038,50.498,50.498,0.15976,49.219,49.219
17.667,0.17042,50.496,50.496,0.15976,49.247,49.247
17.833,0.17045,50.493,50.493,0.15976,49.274,49.274
18,0.17049,50.49,50.49,0.15977,49.301,49.301
18.167,0.17052,50.487,50.487,0.15977,49.328,49.328
18.333,0.17056,50.484,50.484,0.15978,49.354,49.354
18.5,0.17059,50.481,50.481,0.15979,49.38,49.38
18.667,0.17063,50.479,50.479,0.15981,49.405,49.405
18.833,0.17066,50.476,50.476,0.15982,49.43,49.43
19,0.17069,50.473,50.473,0.15983,49.454,49.454
19.167,0.17073,50.47,50.47,0.15985,49.478,49.478
19.333,0.17076,50.467,50.467,0.15987,49.502,49.502
19.5,0.17079,50.464,50.464,0.15989,49.525,49.525
19.667,0.17083,50.461,50.461,0.15991,49.548,49.548
19.833,0.17086,50.458,50.458,0.15994,49.57,49.57
20,0.17089,50.455,50.455,0.15996,49.592,49.592
20.167,0.17092,50.452,50.452,0.15999,49.614,49.614
20.333,0.17096,50.449,50.449,0.16002,49.635,49.635
20.5,0.17099,50.446,50.446,0.16005,49.656,49.656
20.667,0.17102,50.442,50.442,0.16008,49.676,49.676
20.833,0.17105,50.439,50.439,0.16011,49.696,49.696
21,0.17108,50.436,50.436,0.16015,49.716,49.716
21.167,0.17111,50.433,50.433,0.16018,49.735,49.735
21.333,0.17114,50.43,50.43,0.16022,49.754,49.754
21.5,0.17117,50.427,50.427,0.16026,49.773,49.773
21.667,0.1712,50.424,50.424,0.16029,49.791,49.791
21.833,0.17123,50.42,50.42,0.16034,49.809,49.809
22,0.17126,50.417,50.417,0.16038,49.827,49.827
22.167,0.17129,50.414,50.414,0.16042,49.844,49.844
22.333,0.17132,50.411,50.411,0.16046,49.861,49.861
22.5,0.17135,50.408,50.408,0.1605,49.877,49.877
22.667,0.17138,50.405,50.405,0.16055,49.894,49.894
22.833,0.1714,50.401,50.401,0.16059,49.91,49.91
23,0.17143,50.398,50.398,0.16064,49.925,49.925
23.167,0.17146,50.395,50.395,0.16069,49.94,49.94
23.333,0.17149,50.392,50.392,0.16073,49.955,49.955
23.5,0.17151,50.389,50.389,0.16078,49.97,49.97
23.667,0.17154,50.386,50.386,0.16083,49.984,49.984
23.833,0.17156,50.382,50.382,0.16088,49.998,49.998
24,0.17159,50.379,50.379,0.16093,50.012,50.012
24.167,0.17162,50.376,50.376,0.16099,50.026,50.026
24.333,0.17164,50.373,50.373,0.16104,50.039,50.039
24.5,0.17167,50.37,50.37,0.16109,50.052,50.052
24.667,0.17169,50.367,50.367,0.16114,50.064,50.064
24.833,0.17171,50.364,50.364,0.1612,50.077,50.077
25,0.17174,50.361,50.361,0.16125,50.089,50.089
