-4.8333,0,98.8,97.512,97.478
-4.6667,0,98.8,98.313,98.102
-4.5,0,98.8,98.493,98.405
-4.3333,0,98.8,98.021,98.343
-4.1667,0,98.8,97.582,98.173
-4,0,98.8,97.37,98.012
-3.8333,0,98.8,97.284,97.899
-3.6667,0,98.8,97.252,97.83
-3.5,0,98.8,96.531,97.561
-3.3333,0,98.8,95.812,97.188
-3.1667,0,98.8,95.46,96.872
-3,0,98.8,95.672,96.781
-2.8333,0,98.8,95.622,96.719
-2.6667,0,98.8,95.421,96.618
-2.5,0,98.8,95.311,96.53
-2.3333,0,98.8,94.909,96.348
-2.1667,0,98.8,94.178,96.007
-2,0,98.8,94.35,95.894
-1.8333,0,98.8,94.816,96.006
-1.6667,0,98.8,95.424,96.282
-1.5,0,98.8,96.243,96.72
-1.3333,0,98.8,96.817,97.134
-1.1667,0,98.8,97.078,97.413
-1,0,98.8,97.536,97.714
-0.83333,0,98.8,97.931,98
-0.66667,0,98.8,98.12,98.194
-0.5,0,98.8,98.551,98.465
-0.33333,0,98.8,98.8,98.753
-0.16667,0,98.8,98.8,98.793
0,0,98.8,98.8,98.799
0.16667,1.0189,98.8,98.8,98.796
0.33333,4.5214,98.795,98.8,98.485
0.5,3.846,98.373,98.8,95.606
0.66667,1.5173,94.715,98.8,90.396
0.83333,1.1777,85.736,96.363,79.354
1,0.77419,74.349,88.291,67.008
1.1667,0.92751,63.593,78.815,57.005
1.3333,0.97286,54.654,69.371,49.089
1.5,0.90678,47.417,60.437,42.764
1.6667,0.72753,41.658,52.781,37.921
1.8333,0.43714,37.194,46.655,34.529
2,0.043435,33.904,41.918,32.522
2.1667,0,31.724,38.426,31.567
2.3333,0,30.481,35.682,31.115
2.5,0,29.93,33.856,31.039
2.6667,0,29.904,32.941,31.358
2.8333,0,30.298,32.702,32.047
3,0,31.04,32.965,33.058
3.1667,0,32.081,33.62,34.346
3.3333,0.22641,33.386,34.597,35.685
3.5,0.24474,34.822,35.814,36.935
3.6667,0.19936,36.259,36.452,37.892
3.8333,0.14695,37.703,37.144,38.806
4,0.15967,39.194,38.241,39.904
4.1667,0.23848,40.74,39.591,41.107
4.3333,0.23341,42.274,41.057,42.34
4.5,0.21817,43.746,42.545,43.617
4.6667,0.24244,45.165,44.364,45.051
4.8333,0.29114,46.521,46.493,46.622
5,0.33935,47.766,48.013,47.888
5.1667,0.32565,48.843,49.485,48.966
5.3333,0.34162,49.748,50.134,49.603
5.5,0.32371,50.496,50.838,50.074
5.6667,0.33294,51.109,51.674,50.552
5.8333,0.35427,51.609,52.368,50.949
6,0.36442,51.988,52.908,51.223
6.1667,0.36905,52.244,54.021,51.691
6.3333,0.40464,52.386,55.012,52.172
6.5,0.41669,52.405,55.517,52.417
6.6667,0.40514,52.292,55.687,52.432
6.8333,0.39196,52.072,56.004,52.452
7,0.39577,51.786,56.189,52.444
7.1667,0.39243,51.455,56.108,52.32
7.3333,0.37894,51.089,55.865,52.101
7.5,0.36499,50.71,55.897,51.992
7.6667,0.36815,50.341,55.9,51.935
7.8333,0.36442,49.99,56.073,51.975
8,0.36586,49.655,56.153,52.024
8.1667,0.35845,49.337,51.247,49.919
8.3333,0.12319,49.038,46.21,46.961
8.5,0.0014702,48.916,43.992,45.16
8.6667,0.069563,49.162,43.002,44.383
8.8333,0.15092,49.734,42.704,44.166
9,0.20788,50.472,42.965,44.293
9.1667,0.25683,51.252,43.53,44.603
9.3333,0.29539,51.987,44.568,45.128
9.5,0.34414,52.619,45.608,45.679
9.6667,0.37061,53.099,46.387,46.069
9.8333,0.37403,53.399,47.284,46.432
10,0.39123,53.528,48.335,46.856
10.167,0.4153,53.502,49.028,47.135
10.333,0.41333,53.322,48.915,47.003
10.5,0.37833,53.005,48.5,46.613
10.667,0.354,52.609,48.082,46.182
10.833,0.34488,52.191,47.312,45.619
11,0.31647,51.784,47.253,45.344
11.167,0.34313,51.412,47.395,45.288
11.333,0.35959,51.072,47.303,45.189
11.5,0.34736,50.73,47.066,45.006
11.667,0.3315,50.389,46.763,44.787
11.833,0.31931,50.067,46.087,44.415
12,0.28988,49.783,44.71,43.697
12.167,0.2334,49.556,43.9,43.135
12.333,0.23941,49.434,43.624,42.904
12.5,0.26656,49.425,43.511,42.844
12.667,0.27882,49.485,43.489,42.853
12.833,0.28424,49.574,43.882,43.053
13,0.30938,49.673,44.311,43.327
13.167,0.32034,49.758,44.571,43.527
13.333,0.31482,49.807,45.07,43.798
13.5,0.32863,49.823,45.146,43.913
